Name of File,Sample Start,Sample End,Use?
Crystal_21-11-01_SI_L1_p3_video_yeti5,00:11:24,00:16:24,Yes
Crystal_21-11-04_si_l2_p2_video-yeti5,00:21:23,00:26:23,Yes
Crystal_21-11-04_si__l2_p4_yeti7,00:30:21,00:35:21,Yes
Crystal_21-11-04_SI_L2_P5_Yeti7,00:19:17,00:24:17,Yes
Crystal_21-11-05_SI_L2_P3_Video_Yeti5,00:25:31,00:30:31,Yes
Crystal_21-11-05_SI_L2_p5_Video_Yeti7,00:28:41,00:33:41,Yes
Crystal_21-11-09_SI_L2_p2_Video_Yeti7,00:19:04,00:24:04,Yes
Crystal_21-11-09_SI_L2_P3_Video_Yeti5(2),00:13:56,00:18:56,Yes
Crystal_21-11-09_SI_L2_p3_Video_Yeti7,00:16:29,00:21:29,Yes
Crystal_21-11-09_si_l2_p4_video_yeti5,00:23:46,00:28:46,Yes
Crystal_21-11-09_SI_l2_p4_video_yeti7,00:19:00,00:24:00,Yes
Crystal_21-11-09_si_l2_p5_video_yeti7,00:23:19,00:28:19,Yes
Crystal_21-11-10_si_l3_p3_video_yeti5(2),00:03:48,00:08:48,Yes
Crystal_21-11-10_si_l3_p4_video_yeti7,00:11:15,00:16:15,Yes
Crystal_21-11-10_si_l3_p5_video_yeti7(1),00:06:23,00:11:23,Yes
Crystal_21-11-11_SI_L3_P2_Video_yeti4,00:18:09,00:23:09,Yes
Crystal_21-11-11_SI_L3_P2_Video_yeti5,00:05:21,00:10:21,Yes
Crystal_21-11-11_SI_L3_P2_Video_Yeti8,00:18:20,00:23:20,Yes
Crystal_21-11-11_SI_L3_p3_Video_Yeti5,00:17:32,00:22:32,Yes
Crystal_21-11-11_SI_L3_p3_Video_Yeti8,00:18:10,00:23:10,Yes
Crystal_21-11-11_si_l3_p5_video_yeti9,00:20:23,00:25:23,Yes
Crystal_21-11-18_SI_L4_P2_Video_yeti9,00:22:07,00:27:07,Yes
Crystal_21-11-18_SI_L4_P3_video_yeti8(part2),00:05:53,00:10:53,Yes
Crystal_21-11-18_SI_L4_P3_video_yeti9,00:18:31,00:23:31,Yes
Crystal_21-11-18_si_l4_p4_Video_yeti9,00:19:24,00:24:24,Yes